city,city link,subcity,subcity link,restaurant code,restaurant,rating,rating count,cost,address,cuisine,licension no,restaurant link,menu,item,price,veg_or_non_veg
Bangalore,https://www.swiggy.com/city/bangalore,R.T. Nagar,https://www.swiggy.com/city/bangalore/rt-nagar-restaurants,335432,2nd Love Multi-Cuisine Family Restaurant,--,Too Few Ratings,₹ 500,"2nd Love Multi-Cuisine Family Restaurant, 1, M R Garden, V. Nagenahalli Main Road Area: R T Nagar Post - 560032","Indian,North Indian",21221179000572,https://www.swiggy.com/restaurants/2nd-love-multi-cuisine-family-restaurant-r-t-nagar-hebbal-bangalore-335432,Roti & Breads,Cheese Naan,35.0,Veg
Lucknow,https://www.swiggy.com/city/lucknow,Gomti Nagar,https://www.swiggy.com/city/lucknow/gomti-nagar-restaurants,234116,Desi Mutton,2.9,20+ ratings,₹ 300,"Desi Mutton, PATEL PURAM GOMTI NAGAR EXTENTIONLUCKNOW, Nagar Nigam Food Safety Zone-15,Lucknow (Uttar Pradesh), - 226010","Chinese,Indian",22719744000272,https://www.swiggy.com/restaurants/desi-mutton-gomti-nagar-lucknow-234116,Non Veg Snacks Tandoori Se,Chicken Kalimirch,270.0,Non-veg
Vijayawada,https://www.swiggy.com/city/vijayawada,Benz Circle and Auto Nagar,https://www.swiggy.com/city/vijayawada/benz-circle-and-auto-nagar-restaurants,97808,Flan The Creamy World,4.0,50+ ratings,₹ 200,"Flan The Creamy World, 6-104 shop No:1, 4 cross junction,kamayyathopu, Vijayawada","Pizzas,Bakery",10118006001302,https://www.swiggy.com/restaurants/flan-the-creamy-world-benz-circle-kanuru-vijayawada-97808,Pizzas,Chicken Corn N Cheese Pizza,280.0,Non-veg
Bangalore,https://www.swiggy.com/city/bangalore,Frazer Town,https://www.swiggy.com/city/bangalore/frazer-town-restaurants,570520,cream chemistry,--,Too Few Ratings,₹ 198,"cream chemistry, 88/1 A coles road frazer town opp reliance fresh, Pulkeshi Nagar, Pulikeshi Nagar, Bengaluru, Karnataka 560005, India",Beverages,license,https://www.swiggy.com/restaurants/cream-chemistry-frazer-town-bangalore-570520,Liquid Shakes,Choco Chips Shake,179.0,Veg
Bangalore,https://www.swiggy.com/city/bangalore,Arekere,https://www.swiggy.com/city/bangalore/arekere-restaurants,453896,Vinayakshree,--,Too Few Ratings,₹ 150,"Vinayakshree, 13, Yelenahalli Main Rd, Akshayanagara West, DLF Newtown, Akshayanagar, Bengaluru, Karnataka 560076, India","Indian,Combo",11221334002619,https://www.swiggy.com/restaurants/vinayakshree-arekere-bangalore-453896,Mumbai Special,Paneer Pav Bhaji,90.0,Veg
Bangalore,https://www.swiggy.com/city/bangalore,Rajarajeshwari Nagar,https://www.swiggy.com/city/bangalore/rajarajeshwari-nagar-restaurants,562526,Ambur Star Briyani Since 1890,4.1,50+ ratings,₹ 500,"Ambur Star Briyani Since 1890, No.58, Ground Floor, Channasandra Village, RR Nagar, Bangalore, Karnataka 560098","Biryani,Chettinad",11222334000865,https://www.swiggy.com/restaurants/ambur-star-briyani-since-1890-rajarajeshwari-nagar-bangalore-562526,Veg Main Course,Mushroom Chilli Gravy,209.0,Veg
Delhi,https://www.swiggy.com/city/delhi,Kirti Nagar,https://www.swiggy.com/city/delhi/kirti-nagar-restaurants,464365,THE TASTE MAKER,--,Too Few Ratings,₹ 300,"THE TASTE MAKER, SHOP NO 2, E-369, RAMESH NAGAR, TATAR PUR, RAJOURI GARDEN, West , Delhi - 110015","Chinese,North Indian",23321006002085,https://www.swiggy.com/restaurants/the-taste-maker-kirti-nagar-delhi-464365,Mutton,Mutton Curry,450.0,Non-veg
Lucknow,https://www.swiggy.com/city/lucknow,Aliganj,https://www.swiggy.com/city/lucknow/aliganj-restaurants,446106,sukoon cafe,--,Too Few Ratings,₹ 100,"sukoon cafe, 1104 sector 4 near kk palace vikas nagar lucknow",Beverages,22721739000475,https://www.swiggy.com/restaurants/sukoon-cafe-aliganj-lucknow-446106,Fried Rice,Egg Singapore Fried Rice,130.0,Non-veg
Hyderabad,https://www.swiggy.com/city/hyderabad,Kompally,https://www.swiggy.com/city/hyderabad/kompally-restaurants,375177,TELANGANA Express,--,Too Few Ratings,₹ 300,"TELANGANA Express, H.No 3-63/3/F,Near Prajay appartments, beside chroma, Kompally","Andhra,Chinese",13619034000029,https://www.swiggy.com/restaurants/telangana-express-kompally-hyderabad-375177,Chinese Appetisers Non Veg,Fish Chilli,300.0,Non-veg
Kolkata,https://www.swiggy.com/city/kolkata,Central Kolkata,https://www.swiggy.com/city/kolkata/central-kolkata-restaurants,4484,Mocambo,4.3,500+ ratings,₹ 1500,"Mocambo, 25B Park Street, Park Street Area , Kolkata India","North Indian,Biryani",12819019000117,https://www.swiggy.com/restaurants/mocambo-park-street-park-street-area-kolkata-4484,Sea Food,Beckty Bell Meuniere,485.0,Non-veg
Hyderabad,https://www.swiggy.com/city/hyderabad,"Tarnaka, Nacharam & Malkajigiri",https://www.swiggy.com/city/hyderabad/tarnaka-nacharam-malkajigiri-restaurants,55195,Nrs Hotel Sanman,4.2,1K+ ratings,₹ 150,"Nrs Hotel Sanman, H.No.12-13-4, Tarnaka, Hyderabad, Malkajgiri circle No. 28 Hyderabad, Telangana","South Indian,North Indian",13622014000180,https://www.swiggy.com/restaurants/nrs-hotel-sanman-cross-road-tarnaka-hyderabad-55195,Main Course,Curd Rice,71.0,Veg
Ahmedabad,https://www.swiggy.com/city/ahmedabad,Bopal,https://www.swiggy.com/city/ahmedabad/bopal-restaurants,529557,Panda Momos,--,Too Few Ratings,₹ 200,"Panda Momos, B 107, Bhavya Shopping Complex, Below Adhwat Hospital, Shakri Tubewell Cross Roads, Opp. Bhavya Park Brts, Bopal, Ahmedabad Municipal Corporation, Ahmedabad, , Gujarat, 380058  ","Chinese,Fast Food",license,https://www.swiggy.com/restaurants/panda-momos-bopal-ahmedabad-529557,Jain Momos,Deep Fried Paneer Tikka Jain Momos (6Pcs),259.0,Veg
Gurgaon,https://www.swiggy.com/city/gurgaon,Old Gurgaon (Zone 6),https://www.swiggy.com/city/gurgaon/old-gurgaon-restaurants,35946,G Dot,--,Too Few Ratings,₹ 300,"G Dot, Opposite Lt. Atul Kataria Memorial School, Mata Sheetla Mandir Road, Sector 14, Gurgaon",North Indian,20818005001776,https://www.swiggy.com/restaurants/g-dot-sheetla-mata-mandir-road-old-gurgaon-zone-6-gurgaon-35946,Main Course,Stuffed Onion Mixed Paratha,25.0,Veg
Pune,https://www.swiggy.com/city/pune,PCMC,https://www.swiggy.com/city/pune/pcmc-restaurants,54757,Chanakya,--,Too Few Ratings,₹ 400,"Chanakya, Harshal Heights, Pimpri Chinchwad Link Road, Chinchwad, Pune","Chinese,North Indian",11517037000365,https://www.swiggy.com/restaurants/chanakya-pcmc-chinchwad-pune-54757,Main Course,Triple Schezwan Chicken Noodles,230.0,Non-veg
